tweetId,twitterUserId,content,favoriteCount,createdTime
1251368893752373249,1086037534176473088,"What makes a great map? What makes a bad map? Join @mzdraper, @AlbertoCairo, @kennethfield and @Elijah_Meeks next Wednesday for a discussion about good maps, tips for designing them and cautionary tales about when maps go bad.
https://t.co/GzlTZnP3mw",162,2020-04-18 04:36:08
1251367417755758595,1086037534176473088,RT @tableau: If Data Could Talk: Covid-19 Edition https://t.co/evyRn10UDh,0,2020-04-18 04:30:16
1251277362487898113,1086037534176473088,"RT @kennethfield: ""Maps: what's left to talk about"" in which @Elijah_Meeks and I will scrape each other's eyeballs out while @mzdraper and…",0,2020-04-17 22:32:25
1251236324209651712,1086037534176473088,"RT @ODILeeds: This almost 'iconic' piece of #DataViz from John Burn-Murdoch at @FT is perhaps the most shared, most viewed, and most refere…",0,2020-04-17 19:49:21
1250825734400008192,1086037534176473088,"Did you know we have a Youtube channel that’s full of helpful videos for dataviz creators? Of course you did. But do your friends know? Does your mom know?
https://t.co/ZERxvqFOmJ",62,2020-04-16 16:37:48
1250810521118363649,1086037534176473088,"RT @triciaaung: Since Tuesday's @DataVizSociety chat, @JHUSystems @JHSPH_CHS @JenniferNuzzo @civicimpact_jhu have launched US county dashbo…",0,2020-04-16 15:37:21
1250803750022848516,1086037534176473088,"Got the blues? Now your #dataviz can too. Here's how to achieve a harmonious blue color gradient in your #datavisualization using @Adobe Color and Viz Palette, by @tmrhyne: 

https://t.co/ckbgNz29lG",7,2020-04-16 15:10:27
1250644669106544640,1086037534176473088,"RT @abmakulec: Watch the second @DataVizSociety Fireside Chat on visualizing health data responsibly with @pictalhealth, @Harry_Stevens, @t…",0,2020-04-16 04:38:19
1250581708220428288,1086037534176473088,"We’re seeing so much health viz that we felt we should have a discussion on when to do it, how to do it well and what to watch out for. If you missed the live version, here it is!
#Datavisualization #datavisualisation
https://t.co/8a3d9AH0BL",36,2020-04-16 00:28:08
1250428344434225155,1086037534176473088,"Park mobility data from @Google's recently released mobility reports reflects the strategies different governments have taken for limiting the spread of COVID-19. @ektaaa11 explains: 

https://t.co/ErQANZ2rIZ",5,2020-04-15 14:18:43
1250120861777948672,1086037534176473088,RT @Dr_Galsworthy: The @FT log scale chart comparing #coronavirus outbreaks across countries is one of the clearest examples of using data…,0,2020-04-14 17:56:54
1250104549840498688,1086037534176473088,"“This is the biggest story as a data journalist that I’ve ever encountered.” @jburnmurdoch of the @FinancialTimes discussed the creation of his breakout log scale charts, how they have evolved, and what it's been like to cover COVID-19. #dataviz

https://t.co/kfx4T4pemm",114,2020-04-14 16:52:05
1250084804143353856,1086037534176473088,RT @abmakulec: Join me in less than an hour at 11AM ET for our next @DataVizSociety fireside chat on visualizing health data - we'll talk a…,0,2020-04-14 15:33:37
1249733606370500609,1086037534176473088,"RT @abmakulec: ""All of our sourcing must be airtight. A visualisation is only as good as the data it is based on.""

When asked, I have poin…",0,2020-04-13 16:18:05
1249718485741010945,1086037534176473088,"What goes into a COVID-19 #DataVisualization? @triciaaung interviewed @GurmanBhatia and @SimonScarr of the @Reuters graphics team about their design process, the hardest decisions, and much more. 

https://t.co/G2GFSJEnHR",65,2020-04-13 15:18:00
1249712174861299712,1086037534176473088,".@irlington interviewed @nickgreergkcin of @themapisnot about the allure of old maps, the origins of Territory, the shortcomings of visual representation, and more. 

https://t.co/tU92KjeRHq",29,2020-04-13 14:52:55
1249458219916742657,1086037534176473088,RT @jazzmyth: Do any of y'all have favorite environmental or climate visualizations? I'm putting together a list for @DataVizSociety in hon…,0,2020-04-12 22:03:48
1248992013162131456,1086037534176473088,RT @duncangeere: Working on some single axis annotation concepts. Which is your favorite? https://t.co/ZUDzZosgxS,0,2020-04-11 15:11:15
1248634089956986883,1086037534176473088,"The next article in @Jasonforrestftw's Isotype series is on a collection of luxurious statistical charts produced by the Izostat Institute to celebrate Stalin’s first Five-Year Plan. The PDF is free online, so grab it and take a look! #Isotype #dataviz

https://t.co/hpDG13URrp",15,2020-04-10 15:29:00
